Video ID,Title,Descrption,Published At
VIOTkqVYXuM,While loops in Rust #shorts #rust #rustprogramming #software,,2024-09-05T11:33:48Z
cJLRKj_N1dw,Reading Files in Rust - Full Crash Rust Tutorial for Beginners,The Rust series is available here: ...,2024-09-03T13:05:59Z
B0qolOkWNcI,My last experience as an international public speaker at the @_wearedevs conference #shorts #ai,,2024-09-02T12:41:00Z
GTwAnUL5fSc,"Rust - A Journey of Developers, Heroes, Linux Realms and the Battle for Safety - The Code Chronicles","Welcome to ""Rust: The Chronicles of Code"" – An Epic Journey Through the Linux Realms and the Battle for Safety. In a realm ...",2024-09-01T09:39:27Z
UmkKTTMbETo,🚨Rust live tutorial - Reading a file,Rust live tutorial - Reading a file.,2024-09-01T02:15:09Z
U_5jNh3tl3k,How did I start on Twitter?? #shorts #twitter,,2024-08-28T11:57:09Z
_T4sE6NEcV0,Build a Rust CLI - Getting Command Line Arguments - Full Crash Rust Tutorial for Beginners,"Lesson Number 33 of the Rust tutorial Series. In this lesson, we will Related Lessons: ...",2024-08-27T13:00:52Z
5Jz1LXfLgRI,Rust&#39;s ecosystem #shorts #programming #rust #rustlang with @KunalKushwaha,,2024-08-26T11:54:54Z
V04sBFtkAwg,AND and OR Operators for If Expressions in Rust #shorts #rustprogramming #rust,ALL THE LINKS HERE: https://francescociulla.com.,2024-08-25T15:31:31Z
eOqulcRtIMc,🚨Rust live tutorial - Get Input Arguments,Rust live tutorial - Get Input Arguments.,2024-08-25T01:52:28Z
D8xszTLI4xw,Rust and Docker - an AI-Powered App,"In this talk, I will discuss two technologies I like: Rust and Docker. Using them, I will show how I solved one of my real-time ...",2024-08-23T11:10:56Z
D_76TcfzDTU,CLI Project Structure - Rust live tutorial,CLI Project Structure - Rust live tutorial.,2024-08-22T12:00:24Z
5mL3mFGQHM0,Environment Variables - Rust live tutorial,Environment Variables - Rust live tutorial.,2024-08-22T12:02:00Z
uMzMDU5q7UY,Test Driven Development in Rust - Rust live tutorial,Test Driven Development in Rust - Rust live tutorial.,2024-08-22T12:01:20Z
HBDA0T-3zL8,Why did Francesco decide to change career and find a job in tech as a software engineer? #shorts,,2024-08-21T15:11:56Z
-TwTUKtCheA,Nested If in Rust #shorts #rustlang #programming #development,ALL THE LINKS HERE: https://francescociulla.com.,2024-08-19T14:22:03Z
iG1WUR0lWKM,Basic Control flow and If expression in Rust #shorts #rustlang #software,,2024-08-16T15:24:47Z
MiLp0InGOkI,Test Integration and organizing tests - Full Crash Rust Tutorial for Beginners,Check this Rust Workbook with a BIG discount: https://francescociulla.gumroad.com/l/rustworkbook/YOUTUBE Test Organization ...,2024-08-13T13:00:31Z
SlBOoJee24c,Return Values for Functions in Rust #shorts #rustlang,ALL THE LINKS HERE: https://francescociulla.com.,2024-08-09T15:47:32Z
hLLmnarKopU,Developer Relations Roundtable - Hot and spicy topics,"In this episode, we will talk about developing relations, especially hot and spicy topics. Dani https://x.com/danizeres Sue ...",2024-08-08T04:35:53Z
Cjp4acZbPcY,Controlling How Tests Are Run in Rust - Full Crash Rust Tutorial for Beginners,"In this video, we continue our series on testing in Rust. Specifically, we will explore various aspects of controlling how tests are run ...",2024-08-06T13:00:16Z
LhzkG0COLr0,Controlling How Tests Are Run in Rust - Rust live tutorial,"Just as cargo run compiles your code and then runs the resulting binary, cargo test compiles your code in test mode and runs the ...",2024-08-04T02:35:36Z
UWZy2rQkrzY,Code and Life - Interview with @AdrianTwarog at DevStudioCon @Wix,"A quick and rare in-person interview with Adrian Twarog Bangalore, India 🗓️ June 2024 🖊️ DevStudioCon 2024, Wix 0:00 ...",2024-08-02T11:54:18Z
UyJ1mEqKMvE,Testing in Rust - Full Rust Crash Course Tutorial for beginners,"In this lesson, we will learn about Rust programming language testing. In this episode, we will take a practical approach, providing ...",2024-07-30T12:59:37Z
nP-TmcWdij4,Returning Values in functions in Rust #shorts #software #rustlang,Returning Values in functions in Rust #shorts ALL THE LINKS HERE: https://francescociulla.com.,2024-07-29T16:16:58Z
04eVRrpESn8,Live on YouTube: tests in Rust,Live on YouTube: tests in Rust.,2024-07-28T02:44:04Z
1JBbr6Cb6IM,Statments and Expressions in Rust #rustlang #coding,,2024-07-25T12:40:04Z
HqUrE5hbb84,I&#39;m writing a Rust Book! https://rustcrab.com,https://rustcrab.com.,2024-07-24T13:29:00Z
GoxWZ-ch1xU,"🏆 I can&#39;t believe it.After 2 years and 4 months, we are already halfway there.Thank you so much",,2024-07-17T06:39:59Z
dKKDxVM2z6E,Parameters and Arguments in Rust Functions #rustlang,difference between parameters and Arguments. rust functions.,2024-07-14T15:04:30Z
38-imzEXjpE,Video creation for Developers - Learn with @learnwithjason,Let's talk about video creation for developers with Jason Lengstorf Jason https://x.com/jlengstorf https://jason.energy/links/ ...,2024-07-11T04:06:48Z
GuHbR6te4_c,Order of function declaration in Rust #rustlang,ALL THE LINKS HERE: https://francescociulla.com.,2024-07-08T13:50:34Z
_O1gq-LoL3E,Generic Data Types,Generic Data Types.,2024-07-07T02:31:39Z
oR4aDBqGkSU,The char type in Rust  #rustlang #javascript #programmingtutorial #rustacademy #software #coding,ALL THE LINKS HERE: https://francescociulla.com.,2024-07-04T15:33:58Z
Y1IHNwLTC8k,Quick 1 hour Q&amp;A,Come and ask me anything.,2024-07-04T03:10:56Z
gFTJcroX5Ww,"Generics, Traits, and Lifetimes in Rust: Concepts &amp; Examples -Full Crash Rust Tutorial for Beginners","By the end of this video, you will understand the fundamentals of Generics, Traits, and Lifetimes in Rust. We'll start with an ...",2024-07-02T13:05:02Z
PGO6voFdMLg,I was really shy in  2020. But many things have changed since then @_wearedevs @dailydotdev,,2024-06-27T13:10:24Z
6AkRRzcAUKk,Rust Error Handling: When to Use panic! vs Result Explained - Full Crash Rust Tutorial for Beginners,"By the end of this video, you will clearly understand when to use panic! and when to use Result in Rust. We start with a quick ...",2024-06-25T13:10:44Z
